time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load cpu.8.freq[MHz] cpu.8.recload cpu.8.load cpu.9.freq[MHz] cpu.9.recload cpu.9.load cpu.10.freq[MHz] cpu.10.recload cpu.10.load cpu.11.freq[MHz] cpu.11.recload cpu.11.load cpu.12.freq[MHz] cpu.12.recload cpu.12.load cpu.13.freq[MHz] cpu.13.recload cpu.13.load cpu.14.freq[MHz] cpu.14.recload cpu.14.load cpu.15.freq[MHz] cpu.15.recload cpu.15.load cpu.16.freq[MHz] cpu.16.recload cpu.16.load cpu.17.freq[MHz] cpu.17.recload cpu.17.load cpu.18.freq[MHz] cpu.18.recload cpu.18.load cpu.19.freq[MHz] cpu.19.recload cpu.19.load cpu.20.freq[MHz] cpu.20.recload cpu.20.load cpu.21.freq[MHz] cpu.21.recload cpu.21.load cpu.22.freq[MHz] cpu.22.recload cpu.22.load cpu.23.freq[MHz] cpu.23.recload cpu.23.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
11.000 2601 0.087 0.087 2601 0.085 0.085 2601 0.097 0.097 2601 0.088 0.088 2601 0.098 0.098 2601 0.102 0.102 2601 0.074 0.074 2601 0.090 0.090 2601 0.093 0.093 2601 0.321 0.321 2601 0.259 0.259 2601 0.229 0.229 2601 0.215 0.215 2601 0.149 0.149 2601 0.261 0.261 2601 0.188 0.188 2601 0.228 0.228 2601 0.228 0.228 2601 0.299 0.299 2601 0.145 0.145 2601 0.146 0.146 2601 0.410 0.410 2601 0.263 0.263 2601 0.242 0.242 2601 4.397 0.410 4.397 0.410
11.500 2601 0.068 0.068 2601 0.078 0.078 2601 0.071 0.071 2601 0.093 0.093 2601 0.074 0.074 2601 0.076 0.076 2601 0.065 0.065 2601 0.062 0.062 2601 0.085 0.085 2601 0.271 0.271 2601 0.326 0.326 2601 0.142 0.142 2601 0.184 0.184 2601 0.203 0.203 2601 0.257 0.257 2601 0.177 0.177 2601 0.224 0.224 2601 0.168 0.168 2601 0.289 0.289 2601 0.146 0.146 2601 0.236 0.236 2601 0.286 0.286 2601 0.224 0.224 2601 0.205 0.205 2601 4.010 0.326 4.010 0.326
12.000 2601 0.036 0.036 2601 0.012 0.012 2601 0.024 0.024 2601 0.051 0.051 2601 0.008 0.008 2601 0.087 0.087 2601 0.042 0.042 2601 0.019 0.019 2601 0.070 0.070 2601 0.200 0.200 2601 0.257 0.257 2601 0.055 0.055 2601 0.052 0.052 2601 0.117 0.117 2601 0.192 0.192 2601 0.111 0.111 2601 0.070 0.070 2601 0.059 0.059 2601 0.187 0.187 2601 0.115 0.115 2601 0.184 0.184 2601 0.169 0.169 2601 0.076 0.076 2601 0.175 0.175 2601 2.370 0.257 2.370 0.257
12.500 2601 0.078 0.078 2601 0.006 0.006 2601 0.029 0.029 2601 0.045 0.045 2601 0.012 0.012 2601 0.084 0.084 2601 0.053 0.053 2601 0.021 0.021 2601 0.059 0.059 2601 0.202 0.202 2601 0.180 0.180 2601 0.063 0.063 2601 0.049 0.049 2601 0.201 0.201 2601 0.243 0.243 2601 0.071 0.071 2601 0.161 0.161 2601 0.042 0.042 2601 0.214 0.214 2601 0.055 0.055 2601 0.186 0.186 2601 0.068 0.068 2601 0.089 0.089 2601 0.093 0.093 2601 2.306 0.243 2.306 0.243
13.000 2601 0.077 0.077 2601 0.006 0.006 2601 0.017 0.017 2601 0.029 0.029 2601 0.019 0.019 2601 0.090 0.090 2601 0.052 0.052 2601 0.033 0.033 2601 0.049 0.049 2601 0.161 0.161 2601 0.181 0.181 2601 0.045 0.045 2601 0.043 0.043 2601 0.207 0.207 2601 0.171 0.171 2601 0.082 0.082 2601 0.165 0.165 2601 0.047 0.047 2601 0.161 0.161 2601 0.070 0.070 2601 0.173 0.173 2601 0.051 0.051 2601 0.075 0.075 2601 0.058 0.058 2601 2.059 0.207 2.059 0.207
13.500 2601 0.069 0.069 2601 0.013 0.013 2601 0.022 0.022 2601 0.018 0.018 2601 0.015 0.015 2601 0.074 0.074 2601 0.049 0.049 2601 0.030 0.030 2601 0.100 0.100 2601 0.104 0.104 2601 0.122 0.122 2601 0.116 0.116 2601 0.064 0.064 2601 0.148 0.148 2601 0.145 0.145 2601 0.110 0.110 2601 0.165 0.165 2601 0.050 0.050 2601 0.072 0.072 2601 0.062 0.062 2601 0.078 0.078 2601 0.056 0.056 2601 0.064 0.064 2601 0.093 0.093 2601 1.836 0.165 1.836 0.165
14.000 2601 0.073 0.073 2601 0.042 0.042 2601 0.019 0.019 2601 0.018 0.018 2601 0.021 0.021 2601 0.039 0.039 2601 0.046 0.046 2601 0.014 0.014 2601 0.098 0.098 2601 0.100 0.100 2601 0.099 0.099 2601 0.090 0.090 2601 0.060 0.060 2601 0.204 0.204 2601 0.102 0.102 2601 0.128 0.128 2601 0.223 0.223 2601 0.050 0.050 2601 0.052 0.052 2601 0.059 0.059 2601 0.107 0.107 2601 0.064 0.064 2601 0.026 0.026 2601 0.120 0.120 2601 1.854 0.223 1.854 0.223
14.500 2601 0.040 0.040 2601 0.035 0.035 2601 0.019 0.019 2601 0.007 0.007 2601 0.023 0.023 2601 0.033 0.033 2601 0.010 0.010 2601 0.011 0.011 2601 0.088 0.088 2601 0.024 0.024 2601 0.157 0.157 2601 0.093 0.093 2601 0.052 0.052 2601 0.145 0.145 2601 0.038 0.038 2601 0.175 0.175 2601 0.083 0.083 2601 0.069 0.069 2601 0.024 0.024 2601 0.050 0.050 2601 0.105 0.105 2601 0.052 0.052 2601 0.015 0.015 2601 0.111 0.111 2601 1.459 0.175 1.459 0.175
15.000 2601 0.074 0.074 2601 0.092 0.092 2601 0.051 0.051 2601 0.066 0.066 2601 0.060 0.060 2601 0.094 0.094 2601 0.023 0.023 2601 0.071 0.071 2601 0.095 0.095 2601 0.115 0.115 2601 0.215 0.215 2601 0.157 0.157 2601 0.079 0.079 2601 0.207 0.207 2601 0.111 0.111 2601 0.260 0.260 2601 0.097 0.097 2601 0.146 0.146 2601 0.046 0.046 2601 0.149 0.149 2601 0.291 0.291 2601 0.048 0.048 2601 0.090 0.090 2601 0.179 0.179 2601 2.815 0.291 2.815 0.291
15.500 2601 0.081 0.081 2601 0.093 0.093 2601 0.083 0.083 2601 0.063 0.063 2601 0.060 0.060 2601 0.090 0.090 2601 0.035 0.035 2601 0.075 0.075 2601 0.087 0.087 2601 0.100 0.100 2601 0.227 0.227 2601 0.091 0.091 2601 0.040 0.040 2601 0.212 0.212 2601 0.100 0.100 2601 0.222 0.222 2601 0.092 0.092 2601 0.144 0.144 2601 0.144 0.144 2601 0.132 0.132 2601 0.541 0.541 2601 0.028 0.028 2601 0.099 0.099 2601 0.134 0.134 2601 2.974 0.541 2.974 0.541
