time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
18.250 1700 0.058 0.056 1700 0.058 0.052 1700 0.053 0.048 1700 0.025 0.022 1700 0.058 0.056 1700 0.058 0.052 1700 0.053 0.048 1700 0.025 0.022 1700 0.390 0.058 0.356 0.058
18.500 1500 0.067 0.067 1500 0.025 0.025 1500 0.020 0.020 1500 0.000 0.000 1500 0.067 0.067 1500 0.025 0.025 1500 0.020 0.020 1500 0.000 0.000 1500 0.223 0.067 0.223 0.067
18.750 2401 0.358 0.335 2401 0.275 0.315 2401 0.417 0.430 2401 0.308 0.321 2401 0.358 0.335 2401 0.275 0.315 2401 0.417 0.430 2401 0.308 0.321 2401 2.717 0.417 2.802 0.430
19.000 2401 0.217 0.153 2401 0.092 0.065 2401 0.025 0.018 2401 0.133 0.094 2401 0.217 0.153 2401 0.092 0.065 2401 0.025 0.018 2401 0.133 0.094 2401 0.933 0.217 0.661 0.217
19.250 2200 0.000 0.000 2200 0.033 0.024 2200 0.000 0.000 2200 0.033 0.024 2200 0.000 0.000 2200 0.033 0.024 2200 0.000 0.000 2200 0.033 0.024 2200 0.133 0.033 0.094 0.033
19.500 2401 0.267 0.206 2401 0.237 0.183 2401 0.123 0.093 2401 0.053 0.041 2401 0.267 0.206 2401 0.237 0.183 2401 0.123 0.093 2401 0.053 0.041 2401 1.360 0.267 1.046 0.267
19.750 2200 0.133 0.097 2200 0.000 0.000 2200 0.033 0.026 2200 0.000 0.000 2200 0.133 0.097 2200 0.000 0.000 2200 0.033 0.026 2200 0.000 0.000 2200 0.333 0.133 0.245 0.133
20.000 1900 0.025 0.019 1900 0.075 0.058 1900 0.025 0.019 1900 0.020 0.016 1900 0.025 0.019 1900 0.075 0.058 1900 0.025 0.019 1900 0.020 0.016 1900 0.290 0.075 0.224 0.075
20.250 1900 0.000 0.000 1900 0.020 0.018 1900 0.033 0.030 1900 0.000 0.000 1900 0.000 0.000 1900 0.020 0.018 1900 0.033 0.030 1900 0.000 0.000 1900 0.107 0.033 0.095 0.033
20.500 1700 0.133 0.133 1700 0.000 0.000 1700 0.020 0.020 1700 0.000 0.000 1700 0.133 0.133 1700 0.000 0.000 1700 0.020 0.020 1700 0.000 0.000 1700 0.307 0.133 0.307 0.133
20.750 1500 0.492 0.597 1500 0.183 0.208 1500 0.300 0.349 1500 0.125 0.142 1500 0.492 0.597 1500 0.183 0.208 1500 0.300 0.349 1500 0.125 0.142 1500 2.200 0.492 2.591 0.597
21.000 2401 0.058 0.055 2401 0.228 0.190 2401 0.167 0.132 2401 0.058 0.041 2401 0.058 0.055 2401 0.228 0.190 2401 0.167 0.132 2401 0.058 0.041 2401 1.023 0.228 0.836 0.228
21.250 2401 0.025 0.018 2401 0.033 0.024 2401 0.000 0.000 2401 0.053 0.038 2401 0.025 0.018 2401 0.033 0.024 2401 0.000 0.000 2401 0.053 0.038 2401 0.223 0.053 0.158 0.053
21.500 2200 0.133 0.103 2200 0.100 0.077 2200 0.200 0.155 2200 0.250 0.193 2200 0.133 0.103 2200 0.100 0.077 2200 0.200 0.155 2200 0.250 0.193 2200 1.367 0.250 1.056 0.250
21.750 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 2401 0.000 0.000 0.000 0.000
22.000 2200 0.058 0.043 2200 0.108 0.080 2200 0.058 0.045 2200 0.058 0.041 2200 0.058 0.043 2200 0.108 0.080 2200 0.058 0.045 2200 0.058 0.041 2200 0.567 0.108 0.418 0.108
22.250 1900 0.000 0.000 1900 0.020 0.016 1900 0.000 0.000 1900 0.033 0.030 1900 0.000 0.000 1900 0.020 0.016 1900 0.000 0.000 1900 0.033 0.030 1900 0.107 0.033 0.091 0.033
22.500 1700 0.125 0.121 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.125 0.121 1700 0.000 0.000 1700 0.000 0.000 1700 0.000 0.000 1700 0.250 0.125 0.243 0.125
22.750 1700 0.283 0.283 1700 0.408 0.408 1700 0.265 0.265 1700 0.258 0.258 1700 0.283 0.283 1700 0.408 0.408 1700 0.265 0.265 1700 0.258 0.258 1700 2.430 0.408 2.430 0.408
