time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
1.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 0.000 0.000
1.025 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 900 0.000 0.000 0.000 0.000
1.050 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
1.075 768 0.000 0.000 768 0.333 0.738 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.333 0.738 768 0.000 0.000 768 0.000 0.000 768 0.667 0.333 1.476 0.738
1.100 768 0.000 0.000 768 0.500 1.107 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.500 1.107 768 0.000 0.000 768 0.000 0.000 768 1.000 0.500 2.214 1.107
1.125 768 0.000 0.000 768 0.000 0.043 768 0.200 0.443 768 0.000 0.000 768 0.000 0.000 768 0.000 0.043 768 0.200 0.443 768 0.000 0.000 768 0.400 0.200 0.971 0.443
1.150 768 0.333 0.738 768 0.333 0.738 768 0.333 0.738 768 0.333 0.738 768 0.333 0.738 768 0.333 0.738 768 0.333 0.738 768 0.333 0.738 768 2.667 0.333 5.903 0.738
1.175 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.500 1.107 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.500 1.107 768 1.000 0.500 2.214 1.107
1.200 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.250 0.607 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.250 0.607 768 0.500 0.250 1.214 0.607
1.225 768 0.750 1.660 768 0.000 0.000 768 0.333 0.738 768 0.500 1.107 768 0.750 1.660 768 0.000 0.000 768 0.333 0.738 768 0.500 1.107 768 3.167 0.750 7.010 1.660
